Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS▼,TRB,AST
1,Ja Morant\moranja01,Oct 23 '19 MEM @ MIA,20,1,18,518,126,272,19,44,72,93,16,56,116,24,5,60,30,343,.463,.432,.774,28.8,19.1,3.1,6.4
2,Eric Paschall\pascher01,Oct 24 '19 GSW vs. LAC,23,1,24,755,147,296,17,58,87,107,35,125,41,9,9,40,47,398,.497,.293,.813,31.5,16.6,5.2,1.7
3,Kendrick Nunn\nunnke01,Oct 23 '19 MIA vs. MEM,24,1,23,689,140,315,47,135,26,33,7,58,78,24,7,49,59,353,.444,.348,.788,30.0,15.3,2.5,3.4
4,Tyler Herro\herroty01,Oct 23 '19 MIA vs. MEM,20,1,22,637,117,261,47,120,39,47,6,89,44,17,3,44,32,320,.448,.392,.830,29.0,14.5,4.0,2.0
5,RJ Barrett\barrerj01,Oct 23 '19 NYK @ SAS,19,1,22,707,117,296,22,71,59,111,26,117,72,30,11,54,55,315,.395,.310,.532,32.1,14.3,5.3,3.3
6,Rui Hachimura\hachiru01,Oct 23 '19 WAS @ DAL,21,1,22,651,132,273,9,44,40,45,34,127,38,17,3,19,49,313,.484,.205,.889,29.6,14.2,5.8,1.7
7,De'Andre Hunter\huntede01,Oct 24 '19 ATL @ DET,22,1,22,692,94,239,37,105,41,51,11,89,41,14,5,39,58,266,.393,.352,.804,31.5,12.1,4.0,1.9
8,PJ Washington\washipj01,Oct 23 '19 CHO vs. CHI,21,1,25,708,112,228,34,80,44,63,23,127,44,27,21,31,68,302,.491,.425,.698,28.3,12.1,5.1,1.8
9,Coby White\whiteco01,Oct 23 '19 CHI @ CHO,19,1,25,632,107,299,51,149,33,42,7,93,61,17,0,37,36,298,.358,.342,.786,25.3,11.9,3.7,2.4
10,Brandon Clarke\clarkbr01,Oct 23 '19 MEM @ MIA,23,1,18,381,92,146,10,22,19,23,24,106,23,9,17,19,31,213,.630,.455,.826,21.2,11.8,5.9,1.3
11,Darius Garland\garlada01,Oct 23 '19 CLE @ ORL,20,1,23,648,95,253,37,103,23,27,8,42,65,16,0,57,33,250,.375,.359,.852,28.2,10.9,1.8,2.8
12,Jarrett Culver\culveja01,Oct 23 '19 MIN @ BRK,20,1,23,543,83,216,23,87,23,51,24,78,54,21,12,31,49,212,.384,.264,.451,23.6,9.2,3.4,2.3
13,Cameron Johnson\johnsca02,Oct 26 '19 PHO vs. LAC,23,1,21,421,67,153,42,103,16,17,21,64,18,12,7,14,37,192,.438,.408,.941,20.0,9.1,3.0,0.9
14,Jaxson Hayes\hayesja02,Oct 28 '19 NOP vs. GSW,19,1,21,442,72,118,0,3,46,70,43,97,14,17,23,18,67,190,.610,.000,.657,21.0,9.0,4.6,0.7
15,Ky Bowman\bowmaky01,Oct 24 '19 GSW vs. LAC,22,1,25,580,87,192,27,64,19,20,13,69,70,23,3,31,54,220,.453,.422,.950,23.2,8.8,2.8,2.8
16,Cam Reddish\reddica01,Oct 24 '19 ATL @ DET,20,1,20,496,56,176,19,76,28,37,13,73,32,19,7,35,35,159,.318,.250,.757,24.8,8.0,3.7,1.6
17,Jordan Poole\poolejo01,Oct 24 '19 GSW vs. LAC,20,1,24,576,59,229,29,118,42,49,4,54,49,15,6,29,44,189,.258,.246,.857,24.0,7.9,2.3,2.0
18,Kevin Porter\porteke02,Oct 23 '19 CLE @ ORL,19,1,22,460,59,143,13,50,22,30,8,71,42,19,5,35,54,153,.413,.260,.733,20.9,7.0,3.2,1.9
19,Tremont Waters\watertr01,Nov 25 '19 BOS vs. SAC,22,1,1,20,2,7,1,5,2,2,0,2,3,1,2,2,2,7,.286,.200,1.000,20.0,7.0,2.0,3.0
20,Terence Davis\daviste02,Oct 22 '19 TOR vs. NOP,22,1,23,360,55,113,25,60,14,15,14,68,43,10,6,18,42,149,.487,.417,.933,15.7,6.5,3.0,1.9
21,Nickeil Alexander-Walker\alexani01,Oct 22 '19 NOP @ TOR,21,1,20,281,46,141,24,75,11,16,4,45,39,7,2,23,26,127,.326,.320,.688,14.1,6.4,2.3,2.0
